Target Word,Weighted Score
week,45.49
context,45.38
available,45.26
concept,45.25
sell,45.18
seek,44.77
speak,44.68
thinking,44.6
factor,44.47
have,44.34
recognize,44.22
quickly,44.1
fear,44.06
sure,44.05
meet,43.92
education,43.73
gain,43.52
simple,43.48
piece,43.28
taste,43.25
position,43.24
draw,43.19
building,43.14
concern,43.1
aspect,43.08
rate,42.81
late,42.69
encourage,42.51
forest,42.5
fall,42.48
feature,42.36
positive,42.31
tool,42.16
song,42.04
check,42.03
task,41.91
picture,41.82
necessary,41.47
conflict,41.46
single,41.41
access,41.38
occur,41.26
effort,41.16
talk,40.82
advantage,40.71
similar,40.67
send,40.64
news,40.52
smile,40.48
trip,40.42
perception,40.37
care,40.31
method,40.25
pick,40.14
attempt,40.12
risk,40.11
dog,40.06
achieve,40.03
continue,39.85
online,39.79
discover,39.78
lack,39.72
desire,39.69
phone,39.48
land,39.41
table,39.33
organization,39.29
reader,39.23
money,39.03
particularly,38.87
variety,38.86
basic,38.7
figure,38.54
potential,38.49
size,38.49
political,38.36
sign,38.13
carry,38.0
accord,37.98
fill,37.8
fail,37.71
agree,37.56
environmental,37.56
keep,37.55
fish,37.4
hope,37.38
specific,37.34
impact,37.25
finally,37.16
especially,37.14
define,37.12
musical,37.1
solve,37.09
function,37.08
short,37.06
meaning,37.06
assume,36.82
training,36.81
complex,36.74
imagine,36.73
industry,36.67
direct,36.5
explore,36.46
engage,36.43
purpose,36.43
ecosystem,36.43
improve,36.42
measure,36.39
law,36.38
researcher,36.37
graph,36.06
join,36.06
datum,36.05
painting,36.05
describe,35.94
color,35.81
importance,35.74
instance,35.69
night,35.68
experiment,35.67
observe,35.66
addition,35.38
outcome,35.21
unique,35.21
flower,35.18
depend,35.18
establish,35.13
realize,35.13
select,35.03
global,35.01
sit,34.99
stress,34.94
purchase,34.84
historical,34.74
creative,34.73
dream,34.71
fruit,34.63
respond,34.62
speed,34.58
adult,34.57
head,34.53
notice,34.38
identify,34.36
writer,34.34
degree,34.17
fix,34.17
robot,34.13
account,34.09
maintain,34.08
clear,34.0
communication,33.7
deal,33.68
special,33.56
arrive,33.48
user,33.41
organism,33.36
lie,33.33
belief,33.32
affect,33.28
month,33.28
forget,33.24
stay,33.2
sale,33.12
sorry,33.09
typically,33.05
complete,32.9
non,32.84
easily,32.83
father,32.79
moral,32.78
one,32.64
happy,32.4
associate,32.17
competition,32.13
expert,32.03
employee,31.91
express,31.88
character,31.82
cell,31.74
distance,31.7
house,31.64
path,31.64
generate,31.61
test,31.6
evolve,31.54
schedule,31.53
original,31.52
catch,31.52
movement,31.52
beautiful,31.49
letter,31.45
essential,31.45
mental,31.4
participate,31.27
determine,31.23
suddenly,31.21
listen,31.2
separate,31.17
probably,31.12
regard,31.09
item,31.09
detail,31.04
wrong,30.92
current,30.91
identity,30.9
rise,30.88
consequence,30.75
concert,30.72
survive,30.68
reflect,30.58
club,30.56
highly,30.56
wide,30.52
firm,30.5
average,30.48
structure,30.44
represent,30.38
minute,30.36
expression,30.3
application,30.17
manager,30.13
innovation,30.1
apply,30.04
die,29.98
key,29.98
category,29.94
familiar,29.91
ago,29.83
protect,29.8
professional,29.79
enable,29.75
necessity,29.73
effective,29.69
solution,29.69
supply,29.64
bus,29.59
alternative,29.58
invite,29.58
principle,29.58
wish,29.51
percent,29.45
contrast,29.41
return,29.39
prevent,29.32
visual,29.25
climate,29.11
successful,29.04
discovery,29.0
player,28.85
interpretation,28.83
finish,28.79
difficulty,28.71
loss,28.55
deep,28.55
interaction,28.54
video,28.53
manner,28.53
voice,28.47
introduce,28.41
forward,28.41
compare,28.28
foot,28.19
damage,28.14
explanation,28.06
worker,27.96
list,27.95
characteristic,27.91
meeting,27.89
traditional,27.87
relate,27.86
ensure,27.85
novel,27.84
urban,27.79
balance,27.78
tie,27.76
office,27.74
cover,27.74
library,27.71
rest,27.63
claim,27.59
range,27.52
spread,27.5
creativity,27.45
chance,27.44
prefer,27.41
american,27.38
reply,27.26
location,27.22
relative,27.17
poor,27.15
policy,27.05
display,27.03
judge,27.03
transportation,27.01
decade,27.01
ground,26.98
decrease,26.97
model,26.93
clearly,26.9
contact,26.88
famous,26.88
argue,26.82
heart,26.82
contest,26.8
truth,26.8
respect,26.77
text,26.69
remove,26.67
paper,26.64
popular,26.62
leader,26.61
manage,26.58
party,26.53
reward,26.53
insect,26.49
center,26.47
circumstance,26.44
standard,26.42
raise,26.39
leaf,26.34
date,26.34
pass,26.32
promote,26.15
basis,26.11
diverse,26.05
enter,26.04
stage,26.01
dad,25.93
career,25.92
mistake,25.9
capacity,25.88
collection,25.84
tourism,25.81
cut,25.72
resident,25.71
attract,25.55
miss,25.53
struggle,25.5
park,25.44
train,25.43
suppose,25.43
phenomenon,25.39
significant,25.36
door,25.26
increasingly,25.26
similarly,25.22
university,25.21
insight,25.17
tomorrow,25.16
collect,25.11
practical,25.1
evolution,25.05
valuable,25.04
extent,25.01
stick,24.97
restaurant,24.93
air,24.89
rational,24.85
slow,24.85
agent,24.79
coffee,24.77
advance,24.77
contribute,24.72
name,24.71
respondent,24.68
prepare,24.66
representation,24.65
street,24.47
competitive,24.44
contain,24.42
responsibility,24.4
failure,24.35
indifferent,24.3
report,24.3
origin,24.27
frequency,24.26
accurate,24.25
tendency,24.23
government,24.21
post,24.19
management,24.14
drop,24.13
reveal,24.13
kid,24.12
waste,24.11
crop,24.09
nation,24.09
institution,24.07
daily,24.04
rock,24.02
college,23.95
movie,23.92
temperature,23.91
conversation,23.89
wonder,23.86
machine,23.85
learning,23.85
copy,23.84
ball,23.81
clock,23.81
wear,23.79
photograph,23.77
emerge,23.71
completely,23.7
shift,23.67
frequently,23.66
international,23.62
digital,23.61
road,23.61
throw,23.52
theme,23.51
general,23.44
sleep,23.4
signal,23.4
rely,23.3
fly,23.23
author,23.23
shoe,23.19
fine,23.17
perceive,23.17
farmer,23.15
ticket,23.14
relieve,23.13
son,23.09
save,23.06
neighbor,23.05
threat,23.05
eventually,23.0
prove,22.98
landscape,22.95
ancient,22.92
afraid,22.9
additional,22.89
fashion,22.83
bit,22.79
email,22.78
cold,22.71
television,22.69
clothe,22.68
map,22.68
freedom,22.63
tradition,22.6
host,22.59
ignore,22.58
extend,22.58
discussion,22.58
gift,22.55
style,22.54
technological,22.53
shop,22.44
element,22.44
replace,22.42
part,22.41
option,22.25
legal,22.22
scale,22.21
content,22.2
region,22.19
pleasure,22.17
active,22.16
ride,22.15
relatively,22.12
recall,22.09
cognitive,22.06
feedback,22.05
critical,22.04
bag,21.96
definition,21.96
winner,21.85
survival,21.83
rich,21.75
spot,21.74
device,21.73
mass,21.71
strength,21.7
oil,21.68
topic,21.65
generally,21.62
employ,21.61
trust,21.52
immediate,21.52
useful,21.47
investment,21.46
immediately,21.44
total,21.43
preserve,21.41
conduct,21.39
summer,21.38
sea,21.38
daughter,21.34
weather,21.33
industrial,21.31
half,21.29
introduction,21.27
photo,21.23
construct,21.22
strategy,21.22
green,21.17
acquire,21.14
guide,21.1
artistic,21.08
domain,21.07
favorite,21.03
network,21.02
significance,20.97
review,20.92
root,20.91
pressure,20.86
aesthetic,20.85
consume,20.82
safety,20.8
citizen,20.76
enhance,20.76
morning,20.75
technique,20.74
calm,20.68
genetic,20.67
fiction,20.66
necessarily,20.64
baby,20.63
predict,20.63
habit,20.59
error,20.58
internet,20.53
lunch,20.53
tour,20.52
season,20.51
perfect,20.5
repair,20.46
push,20.44
careful,20.42
prize,20.4
trade,20.39
relax,20.39
labor,20.37
confidence,20.35
female,20.3
fossil,20.28
external,20.26
white,20.25
fit,20.23
hit,20.22
classical,20.21
race,20.19
unit,20.18
expectation,20.13
male,20.1
possibility,20.09
wind,20.08
expensive,20.06
exactly,20.05
multiple,19.98
cream,19.97
client,19.97
politic,19.92
creation,19.91
narrative,19.88
preference,19.87
diversity,19.87
interesting,19.84
decline,19.83
notion,19.83
invent,19.78
mountain,19.73
habitat,19.72
combine,19.7
charge,19.68
objective,19.67
progress,19.65
paint,19.62
ocean,19.61
cue,19.59
flow,19.55
inspire,19.53
piano,19.52
advice,19.51
excited,19.44
encounter,19.42
correct,19.41
promise,19.39
mechanism,19.39
construction,19.31
literature,19.3
thrill,19.29
ethical,19.25
expand,19.25
repeat,19.24
black,19.19
disease,19.18
wall,19.18
egg,19.17
master,19.12
nervous,19.1
status,19.05
birthday,19.05
bias,19.04
directly,19.01
baseball,18.98
equal,18.96
star,18.95
motivation,18.91
treat,18.91
economy,18.9
property,18.89
everyday,18.88
delight,18.84
shout,18.83
reject,18.8
sincerely,18.8
refer,18.72
chemical,18.72
fun,18.7
absolutely,18.7
distinguish,18.67
museum,18.64
ice,18.61
painter,18.57
plastic,18.56
box,18.56
composer,18.54
volunteer,18.53
limited,18.52
wave,18.49
switch,18.49
profit,18.49
document,18.48
biological,18.48
exchange,18.46
bicycle,18.46
independent,18.45
address,18.4
nutrient,18.36
reading,18.31
pursue,18.27
deny,18.27
newspaper,18.26
tourist,18.22
weight,18.21
pull,18.18
organize,18.15
recently,18.14
generation,18.14
cancel,18.12
fire,18.09
surprise,18.08
majority,18.07
discipline,17.88
ready,17.87
evaluate,17.8
vary,17.78
unfortunately,17.72
certainly,17.67
site,17.66
inner,17.63
impossible,17.63
arise,17.63
recent,17.57
confuse,17.56
version,17.55
ingredient,17.54
emission,17.54
broad,17.51
publish,17.51
achievement,17.44
disappear,17.44
actor,17.43
connect,17.41
graduate,17.41
merely,17.41
critic,17.37
confident,17.36
winter,17.36
feed,17.34
adapt,17.29
demonstrate,17.27
setting,17.27
seed,17.25
connection,17.23
mile,17.23
ordinary,17.22
commercial,17.22
carbon,17.21
suffer,17.15
inform,17.14
crowd,17.14
match,17.1
middle,17.08
productivity,17.07
intellectual,17.06
previous,17.04
mouth,17.02
interested,17.01
block,17.01
smell,17.01
cross,16.93
unknown,16.9
annual,16.89
succeed,16.84
wonderful,16.83
psychologist,16.83
powerful,16.82
wild,16.76
dance,16.75
dress,16.75
opposite,16.74
attitude,16.73
distribution,16.71
predator,16.68
behave,16.67
gene,16.65
variation,16.65
boy,16.63
radio,16.6
delay,16.58
sister,16.56
appropriate,16.54
conventional,16.51
statement,16.49
clean,16.47
fee,16.46
talent,16.45
final,16.44
toy,16.43
desirable,16.4
gap,16.39
intend,16.38
village,16.35
outside,16.34
direction,16.33
native,16.33
sufficient,16.32
card,16.31
organic,16.29
danger,16.27
truly,16.21
burn,16.21
slowly,16.19
ecological,16.19
academic,16.19
advertising,16.18
rain,16.18
financial,16.17
norm,16.15
appreciate,16.13
fundamental,16.12
leisure,16.12
main,16.12
transport,16.11
interpret,16.1
surface,16.03
internal,16.0
attend,15.97
edge,15.95
judgment,15.95
couple,15.94
primary,15.93
complicated,15.88
fresh,15.88
greatly,15.88
architecture,15.86
assumption,15.8
divide,15.77
deliver,15.76
dollar,15.74
red,15.73
bored,15.73
fiber,15.69
nearly,15.66
thousand,15.66
communicate,15.65
modify,15.64
doctor,15.64
overcome,15.63
distinct,15.63
put,15.61
maybe,15.61
discourage,15.6
disappoint,15.56
speech,15.52
safe,15.52
accomplish,15.51
hide,15.5
constantly,15.5
making,15.48
operate,15.45
extreme,15.44
selection,15.44
release,15.42
patent,15.42
sun,15.4
professor,15.39
adopt,15.37
exhibit,15.34
actual,15.29
appearance,15.29
request,15.29
huge,15.26
camera,15.25
friendly,15.23
submit,15.22
shadow,15.2
exercise,15.2
satisfied,15.16
exhibition,15.14
rural,15.13
rarely,15.13
medical,15.12
bee,15.12
restrict,15.02
myth,14.97
entire,14.97
description,14.96
presence,14.96
touch,14.94
fuel,14.93
pleased,14.93
contemporary,14.92
equipment,14.91
yesterday,14.89
invention,14.88
yield,14.87
argument,14.85
indicate,14.84
listener,14.83
code,14.82
seat,14.8
app,14.8
department,14.78
warm,14.78
illusion,14.76
surprised,14.76
heat,14.76
consumption,14.75
weak,14.7
agricultural,14.69
unexpected,14.68
print,14.67
patient,14.65
imagination,14.65
derive,14.59
adjust,14.59
muscle,14.58
colony,14.58
flight,14.54
grade,14.51
exceed,14.5
helpful,14.48
sort,14.48
evening,14.47
praise,14.46
discount,14.43
effectively,14.41
dark,14.4
precision,14.39
extremely,14.38
meal,14.35
donation,14.35
hospital,14.34
soil,14.33
deeply,14.3
band,14.3
factory,14.3
efficiency,14.29
reaction,14.28
regulate,14.27
furthermore,14.25
emphasize,14.24
adaptation,14.21
drink,14.2
score,14.19
tea,14.19
negotiation,14.17
compete,14.16
western,14.16
universal,14.15
survey,14.13
garden,14.13
gather,14.13
vision,14.08
awareness,14.07
numerous,13.96
crucial,13.92
viewer,13.9
electricity,13.87
examine,13.87
philosophy,13.85
river,13.84
traffic,13.81
circle,13.81
ease,13.8
instrument,13.8
glad,13.77
subjective,13.77
journey,13.75
consequently,13.74
meaningful,13.72
poetry,13.72
colleague,13.72
partner,13.71
relation,13.7
mobility,13.69
procedure,13.69
react,13.69
experimental,13.67
consideration,13.65
childhood,13.57
surround,13.57
escape,13.57
orient,13.56
sentence,13.55
appeal,13.55
reinforce,13.52
leg,13.51
recommend,13.51
page,13.5
presentation,13.49
comparison,13.49
proper,13.49
smart,13.47
musician,13.47
war,13.45
aware,13.44
transform,13.43
volume,13.41
logical,13.4
cycle,13.4
disappointed,13.39
sector,13.37
assignment,13.33
aim,13.32
wine,13.3
grateful,13.28
bottle,13.27
lake,13.27
sing,13.26
visitor,13.25
core,13.23
analyze,13.22
camp,13.22
unable,13.2
bike,13.19
welcome,13.18
analysis,13.18
tip,13.17
typical,13.17
privacy,13.15
dominate,13.15
psychology,13.15
brand,13.15
assistant,13.14
component,13.14
finding,13.11
agency,13.1
relevant,13.1
consist,13.07
strike,13.03
stone,13.03
dinner,13.02
attractive,13.01
terrible,13.0
mathematic,13.0
enemy,12.99
link,12.99
charity,12.99
mark,12.96
beneficial,12.96
sweet,12.94
lifetime,12.94
wealth,12.88
expense,12.87
discuss,12.85
workplace,12.85
engineering,12.85
largely,12.84
million,12.83
architect,12.83
guarantee,12.82
owner,12.82
evolutionary,12.82
strange,12.82
rare,12.78
comment,12.77
dynamic,12.76
hot,12.76
protection,12.7
translate,12.7
widely,12.7
diet,12.69
shopping,12.69
invest,12.68
religious,12.67
channel,12.67
contribution,12.66
gradually,12.66
collective,12.65
reservation,12.65
proportion,12.65
shelf,12.65
screen,12.62
destroy,12.58
satisfy,12.57
maker,12.57
complexity,12.57
arm,12.56
civilization,12.55
comfortable,12.55
magazine,12.54
swimming,12.54
private,12.53
likewise,12.51
photography,12.5
authority,12.5
nice,12.49
trait,12.47
pitch,12.47
earn,12.46
equally,12.46
cake,12.45
output,12.44
harm,12.44
constant,12.43
nest,12.43
cheer,12.43
being,12.42
reputation,12.41
frame,12.41
wood,12.4
opinion,12.39
fishing,12.37
alarm,12.36
absence,12.34
commitment,12.33
cook,12.32
intention,12.31
relief,12.3
teenager,12.3
actively,12.3
uncertainty,12.29
station,12.29
income,12.29
automatically,12.28
obtain,12.26
beat,12.25
tension,12.25
opening,12.18
incentive,12.18
eliminate,12.17
honey,12.14
ideal,12.13
glass,12.09
brother,12.08
familiarity,12.05
preferred,12.02
considerable,12.01
climb,12.0
false,11.98
route,11.98
borrow,11.98
spring,11.98
island,11.96
mail,11.95
worth,11.93
successfully,11.9
producer,11.9
horse,11.9
secret,11.9
lay,11.89
secure,11.89
formal,11.89
twice,11.88
destination,11.87
unusual,11.87
hardly,11.87
mirror,11.84
transit,11.83
coach,11.83
cooperate,11.83
potentially,11.82
french,11.8
reproduce,11.79
intelligence,11.78
suit,11.78
instruction,11.77
seemingly,11.77
classroom,11.76
boundary,11.75
impression,11.73
background,11.71
heavily,11.71
dangerous,11.71
laugh,11.7
reference,11.7
peer,11.68
ahead,11.68
nineteenth,11.68
archaeologist,11.68
doubt,11.64
belong,11.63
contract,11.62
aid,11.62
capture,11.62
central,11.62
psychological,11.61
obvious,11.6
anger,11.59
technical,11.59
director,11.58
estimate,11.58
target,11.58
sugar,11.57
milk,11.57
hero,11.56
normal,11.53
lawyer,11.53
engine,11.53
arrange,11.51
anxiety,11.49
photographer,11.49
busy,11.47
round,11.46
stock,11.43
profitable,11.43
arrival,11.41
register,11.39
oppose,11.39
trouble,11.38
tax,11.37
spatial,11.37
sum,11.32
upset,11.31
regularly,11.31
emergency,11.31
bar,11.3
track,11.29
lecture,11.29
bed,11.29
paradigm,11.29
few,11.28
facilitate,11.27
poet,11.27
personality,11.26
rank,11.24
pesticide,11.23
series,11.23
apart,11.21
imply,11.21
depth,11.21
settle,11.21
athlete,11.19
treatment,11.18
crime,11.18
vegetable,11.17
soft,11.17
sky,11.16
death,11.16
diminish,11.16
cheese,11.16
flavor,11.15
ear,11.15
board,11.13
socially,11.13
registration,11.12
fully,11.11
mathematical,11.11
superior,11.09
inherent,11.07
metaphor,11.06
differ,11.05
bat,11.05
guideline,11.04
town,11.03
empathy,11.03
hundred,11.02
historian,11.02
exciting,11.01
responsible,11.0
sens,11.0
obviously,11.0
filter,10.99
literary,10.99
disaster,10.98
verbal,10.97
crisis,10.96
battle,10.94
finger,10.94
consciousness,10.94
joy,10.94
reliable,10.94
quick,10.93
artificial,10.93
efficient,10.93
recipe,10.92
plane,10.91
gold,10.9
manipulate,10.89
rid,10.88
attribute,10.87
portrait,10.87
conclusion,10.86
atmosphere,10.86
birth,10.86
package,10.85
precisely,10.84
designer,10.84
vehicle,10.84
framework,10.83
improvement,10.83
alter,10.83
bond,10.8
pain,10.79
satisfaction,10.77
angry,10.76
involvement,10.76
existence,10.73
harmful,10.72
requirement,10.71
reserve,10.71
reduction,10.67
cup,10.67
initially,10.66
length,10.66
security,10.66
apparent,10.66
chair,10.64
barrier,10.63
occasionally,10.63
distinctive,10.62
naturally,10.59
festival,10.59
threaten,10.58
butterfly,10.57
favor,10.56
unnecessary,10.55
narrow,10.55
net,10.54
incredible,10.54
overlook,10.54
cat,10.54
metal,10.52
launch,10.52
concerned,10.49
stable,10.49
routine,10.48
observation,10.48
snake,10.48
overall,10.47
induce,10.47
comfort,10.46
behaviour,10.45
maximize,10.45
delivery,10.44
stimulus,10.44
composition,10.44
contrary,10.44
motivate,10.43
hypothesis,10.41
parking,10.41
chain,10.4
silent,10.4
healthy,10.38
equality,10.37
vast,10.37
driver,10.36
journalist,10.36
coin,10.33
article,10.32
planning,10.32
bridge,10.31
attack,10.3
biology,10.29
grant,10.28
announce,10.28
beauty,10.28
sharing,10.28
fight,10.26
official,10.26
creature,10.26
entirely,10.24
previously,10.23
consistent,10.23
jacket,10.22
court,10.19
primitive,10.16
hunt,10.15
seller,10.15
universe,10.12
possibly,10.11
beach,10.1
anxious,10.1
geography,10.1
grocery,10.1
definitely,10.09
commonly,10.08
originate,10.08
rose,10.08
hunter,10.07
autonomy,10.05
snack,10.05
shirt,10.05
protective,10.04
competitor,10.04
remind,10.02
hurt,10.01
tear,10.0
stimulate,10.0
virtual,10.0
entry,9.98
grain,9.97
reproduction,9.97
minority,9.95
prey,9.95
furniture,9.94
participation,9.93
cry,9.93
recognition,9.92
software,9.92
chaos,9.92
implication,9.92
cheap,9.91
symbol,9.91
jealous,9.9
lesson,9.9
recover,9.9
trend,9.9
scene,9.88
wildlife,9.88
deadline,9.88
drawing,9.87
salt,9.87
willing,9.86
conscious,9.86
pair,9.84
agriculture,9.82
count,9.81
manufacturer,9.8
emphasis,9.79
engineer,9.77
bank,9.76
exposure,9.75
nod,9.74
noise,9.73
nonverbal,9.73
expansion,9.71
boat,9.71
transfer,9.68
conclude,9.68
teaching,9.68
frustrate,9.67
duration,9.67
ultimately,9.67
acceptance,9.65
ancestor,9.65
constitute,9.65
basketball,9.64
reasonable,9.64
okay,9.64
amazing,9.63
transmit,9.61
harmony,9.61
absorb,9.6
press,9.6
vital,9.6
electronic,9.59
convey,9.59
profession,9.59
skilled,9.57
sigh,9.57
pile,9.55
award,9.54
forth,9.54
compensate,9.54
cultivate,9.54
breath,9.53
reflection,9.53
distribute,9.52
heavy,9.51
rhythm,9.47
vocabulary,9.46
acknowledge,9.45
peach,9.44
hike,9.43
era,9.43
dramatically,9.41
occupy,9.41
sight,9.39
fair,9.39
theater,9.39
constraint,9.38
pollution,9.37
trainer,9.36
quiet,9.36
criticism,9.36
consistently,9.34
dilemma,9.33
window,9.33
detect,9.33
pad,9.32
confirm,9.32
farming,9.32
attraction,9.31
enrollment,9.31
happiness,9.31
differently,9.31
abandon,9.3
weekend,9.29
beginner,9.28
pursuit,9.27
pest,9.26
blue,9.24
hurry,9.23
guest,9.22
hop,9.2
glacier,9.19
hair,9.19
twentieth,9.19
injury,9.19
specialized,9.16
sink,9.16
illustrate,9.15
salient,9.13
snow,9.13
attach,9.13
budget,9.11
bind,9.11
apologize,9.11
supermarket,9.11
sample,9.1
jump,9.1
equilibrium,9.09
section,9.09
performer,9.06
input,9.04
math,9.04
adaptive,9.04
roll,9.03
grasp,9.02
entity,9.02
depict,9.02
sculpture,9.01
tiny,9.01
hat,9.0
humanity,8.99
prior,8.99
evaluation,8.98
file,8.98
agreement,8.98
worried,8.97
surprising,8.97
layer,8.97
intense,8.97
possess,8.96
pet,8.96
fan,8.96
intensity,8.95
rush,8.94
concentrate,8.94
territory,8.94
pie,8.93
mission,8.93
meter,8.93
label,8.93
seal,8.91
mere,8.91
wife,8.9
imitate,8.89
perceptual,8.89
regular,8.86
suggestion,8.86
medicine,8.86
reasoning,8.84
inevitable,8.84
locate,8.83
physicist,8.83
upload,8.81
significantly,8.79
widespread,8.79
substance,8.78
clothing,8.76
accumulate,8.75
usual,8.75
grandmother,8.75
monitor,8.75
commute,8.74
cabbage,8.74
isolation,8.74
exploration,8.73
educational,8.72
identical,8.72
regardless,8.71
resistant,8.71
mysterious,8.7
pioneer,8.7
pace,8.7
passion,8.7
processing,8.7
blame,8.7
pool,8.7
isolate,8.69
spending,8.69
arrangement,8.69
economically,8.68
distinction,8.67
classification,8.66
mainly,8.66
egyptian,8.66
maintenance,8.66
last,8.65
physically,8.65
rival,8.65
adversity,8.64
assess,8.64
temporal,8.63
ring,8.63
criticize,8.62
bodily,8.62
national,8.61
surely,8.6
burnout,8.6
girl,8.6
freeze,8.59
infrastructure,8.58
provider,8.54
accommodation,8.54
poster,8.54
sudden,8.53
mature,8.52
generalization,8.52
convince,8.52
operation,8.51
classic,8.51
ceremony,8.49
confront,8.48
flood,8.48
branch,8.48
cast,8.48
metabolism,8.47
pretty,8.47
sociologist,8.46
sequence,8.45
violence,8.45
cafe,8.45
apple,8.45
principal,8.44
amount,8.44
regulation,8.44
smartphone,8.43
gender,8.43
gas,8.43
infant,8.42
entail,8.42
dependent,8.42
neighborhood,8.42
extensive,8.41
endanger,8.41
proud,8.41
courage,8.4
trap,8.4
capital,8.37
shake,8.35
telephone,8.35
toss,8.34
loyalty,8.34
automobile,8.34
capable,8.34
insufficient,8.33
favorable,8.33
soccer,8.32
session,8.3
restore,8.29
nearby,8.29
staff,8.29
remarkable,8.28
hobby,8.27
inside,8.26
specialist,8.26
bone,8.26
interview,8.25
accessible,8.24
saving,8.24
guess,8.24
machinery,8.22
pose,8.21
indigenous,8.2
afternoon,8.2
elephant,8.19
disagreement,8.19
hazard,8.18
incorporate,8.18
potato,8.17
